home_grid,mw,egress_regime,seed,n_t5_jobs,dest_SE,dest_CH,dest_FR,dest_IT,dest_DE,dest_PL,egress_total_g_co2
SE,1.0000,0.5000,20260517,199,199,0,0,0,0,0,0.0000
SE,1.0000,0.5000,20260518,199,199,0,0,0,0,0,0.0000
SE,1.0000,0.5000,20260519,199,199,0,0,0,0,0,0.0000
SE,1.0000,0.5000,20260520,199,199,0,0,0,0,0,0.0000
SE,1.0000,0.5000,20260521,199,199,0,0,0,0,0,0.0000
SE,1.0000,0.5000,20260522,199,199,0,0,0,0,0,0.0000
SE,1.0000,0.5000,20260523,199,199,0,0,0,0,0,0.0000
SE,1.0000,0.5000,20260524,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260517,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260518,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260519,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260520,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260521,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260522,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260523,199,199,0,0,0,0,0,0.0000
SE,1.0000,1.0000,20260524,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260517,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260518,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260519,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260520,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260521,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260522,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260523,199,199,0,0,0,0,0,0.0000
SE,1.0000,2.0000,20260524,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260517,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260518,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260519,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260520,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260521,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260522,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260523,199,199,0,0,0,0,0,0.0000
SE,10.0000,0.5000,20260524,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260517,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260518,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260519,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260520,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260521,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260522,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260523,199,199,0,0,0,0,0,0.0000
SE,10.0000,1.0000,20260524,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260517,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260518,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260519,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260520,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260521,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260522,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260523,199,199,0,0,0,0,0,0.0000
SE,10.0000,2.0000,20260524,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260517,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260518,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260519,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260520,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260521,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260522,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260523,199,199,0,0,0,0,0,0.0000
SE,50.0000,0.5000,20260524,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260517,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260518,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260519,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260520,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260521,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260522,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260523,199,199,0,0,0,0,0,0.0000
SE,50.0000,1.0000,20260524,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260517,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260518,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260519,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260520,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260521,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260522,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260523,199,199,0,0,0,0,0,0.0000
SE,50.0000,2.0000,20260524,199,199,0,0,0,0,0,0.0000
CH,1.0000,0.5000,20260517,199,199,0,0,0,0,0,696.5000
CH,1.0000,0.5000,20260518,199,199,0,0,0,0,0,696.5000
CH,1.0000,0.5000,20260519,199,199,0,0,0,0,0,696.5000
CH,1.0000,0.5000,20260520,199,199,0,0,0,0,0,696.5000
CH,1.0000,0.5000,20260521,199,199,0,0,0,0,0,696.5000
CH,1.0000,0.5000,20260522,199,199,0,0,0,0,0,696.5000
CH,1.0000,0.5000,20260523,199,199,0,0,0,0,0,696.5000
CH,1.0000,0.5000,20260524,199,199,0,0,0,0,0,696.5000
CH,1.0000,1.0000,20260517,199,199,0,0,0,0,0,1393.0000
CH,1.0000,1.0000,20260518,199,199,0,0,0,0,0,1393.0000
CH,1.0000,1.0000,20260519,199,199,0,0,0,0,0,1393.0000
CH,1.0000,1.0000,20260520,199,199,0,0,0,0,0,1393.0000
CH,1.0000,1.0000,20260521,199,199,0,0,0,0,0,1393.0000
CH,1.0000,1.0000,20260522,199,199,0,0,0,0,0,1393.0000
CH,1.0000,1.0000,20260523,199,199,0,0,0,0,0,1393.0000
CH,1.0000,1.0000,20260524,199,199,0,0,0,0,0,1393.0000
CH,1.0000,2.0000,20260517,199,199,0,0,0,0,0,2786.0000
CH,1.0000,2.0000,20260518,199,199,0,0,0,0,0,2786.0000
CH,1.0000,2.0000,20260519,199,199,0,0,0,0,0,2786.0000
CH,1.0000,2.0000,20260520,199,199,0,0,0,0,0,2786.0000
CH,1.0000,2.0000,20260521,199,199,0,0,0,0,0,2786.0000
CH,1.0000,2.0000,20260522,199,199,0,0,0,0,0,2786.0000
CH,1.0000,2.0000,20260523,199,199,0,0,0,0,0,2786.0000
CH,1.0000,2.0000,20260524,199,199,0,0,0,0,0,2786.0000
CH,10.0000,0.5000,20260517,199,199,0,0,0,0,0,696.5000
CH,10.0000,0.5000,20260518,199,199,0,0,0,0,0,696.5000
CH,10.0000,0.5000,20260519,199,199,0,0,0,0,0,696.5000
CH,10.0000,0.5000,20260520,199,199,0,0,0,0,0,696.5000
CH,10.0000,0.5000,20260521,199,199,0,0,0,0,0,696.5000
CH,10.0000,0.5000,20260522,199,199,0,0,0,0,0,696.5000
CH,10.0000,0.5000,20260523,199,199,0,0,0,0,0,696.5000
CH,10.0000,0.5000,20260524,199,199,0,0,0,0,0,696.5000
CH,10.0000,1.0000,20260517,199,199,0,0,0,0,0,1393.0000
CH,10.0000,1.0000,20260518,199,199,0,0,0,0,0,1393.0000
CH,10.0000,1.0000,20260519,199,199,0,0,0,0,0,1393.0000
CH,10.0000,1.0000,20260520,199,199,0,0,0,0,0,1393.0000
CH,10.0000,1.0000,20260521,199,199,0,0,0,0,0,1393.0000
CH,10.0000,1.0000,20260522,199,199,0,0,0,0,0,1393.0000
CH,10.0000,1.0000,20260523,199,199,0,0,0,0,0,1393.0000
CH,10.0000,1.0000,20260524,199,199,0,0,0,0,0,1393.0000
CH,10.0000,2.0000,20260517,199,199,0,0,0,0,0,2786.0000
CH,10.0000,2.0000,20260518,199,199,0,0,0,0,0,2786.0000
CH,10.0000,2.0000,20260519,199,199,0,0,0,0,0,2786.0000
CH,10.0000,2.0000,20260520,199,199,0,0,0,0,0,2786.0000
CH,10.0000,2.0000,20260521,199,199,0,0,0,0,0,2786.0000
CH,10.0000,2.0000,20260522,199,199,0,0,0,0,0,2786.0000
CH,10.0000,2.0000,20260523,199,199,0,0,0,0,0,2786.0000
CH,10.0000,2.0000,20260524,199,199,0,0,0,0,0,2786.0000
CH,50.0000,0.5000,20260517,199,199,0,0,0,0,0,696.5000
CH,50.0000,0.5000,20260518,199,199,0,0,0,0,0,696.5000
CH,50.0000,0.5000,20260519,199,199,0,0,0,0,0,696.5000
CH,50.0000,0.5000,20260520,199,199,0,0,0,0,0,696.5000
CH,50.0000,0.5000,20260521,199,199,0,0,0,0,0,696.5000
CH,50.0000,0.5000,20260522,199,199,0,0,0,0,0,696.5000
CH,50.0000,0.5000,20260523,199,199,0,0,0,0,0,696.5000
CH,50.0000,0.5000,20260524,199,199,0,0,0,0,0,696.5000
CH,50.0000,1.0000,20260517,199,199,0,0,0,0,0,1393.0000
CH,50.0000,1.0000,20260518,199,199,0,0,0,0,0,1393.0000
CH,50.0000,1.0000,20260519,199,199,0,0,0,0,0,1393.0000
CH,50.0000,1.0000,20260520,199,199,0,0,0,0,0,1393.0000
CH,50.0000,1.0000,20260521,199,199,0,0,0,0,0,1393.0000
CH,50.0000,1.0000,20260522,199,199,0,0,0,0,0,1393.0000
CH,50.0000,1.0000,20260523,199,199,0,0,0,0,0,1393.0000
CH,50.0000,1.0000,20260524,199,199,0,0,0,0,0,1393.0000
CH,50.0000,2.0000,20260517,199,199,0,0,0,0,0,2786.0000
CH,50.0000,2.0000,20260518,199,199,0,0,0,0,0,2786.0000
CH,50.0000,2.0000,20260519,199,199,0,0,0,0,0,2786.0000
CH,50.0000,2.0000,20260520,199,199,0,0,0,0,0,2786.0000
CH,50.0000,2.0000,20260521,199,199,0,0,0,0,0,2786.0000
CH,50.0000,2.0000,20260522,199,199,0,0,0,0,0,2786.0000
CH,50.0000,2.0000,20260523,199,199,0,0,0,0,0,2786.0000
CH,50.0000,2.0000,20260524,199,199,0,0,0,0,0,2786.0000
FR,1.0000,0.5000,20260517,199,199,0,0,0,0,0,696.5000
FR,1.0000,0.5000,20260518,199,199,0,0,0,0,0,696.5000
FR,1.0000,0.5000,20260519,199,199,0,0,0,0,0,696.5000
FR,1.0000,0.5000,20260520,199,199,0,0,0,0,0,696.5000
FR,1.0000,0.5000,20260521,199,199,0,0,0,0,0,696.5000
FR,1.0000,0.5000,20260522,199,199,0,0,0,0,0,696.5000
FR,1.0000,0.5000,20260523,199,199,0,0,0,0,0,696.5000
FR,1.0000,0.5000,20260524,199,199,0,0,0,0,0,696.5000
FR,1.0000,1.0000,20260517,199,199,0,0,0,0,0,1393.0000
FR,1.0000,1.0000,20260518,199,199,0,0,0,0,0,1393.0000
FR,1.0000,1.0000,20260519,199,199,0,0,0,0,0,1393.0000
FR,1.0000,1.0000,20260520,199,199,0,0,0,0,0,1393.0000
FR,1.0000,1.0000,20260521,199,199,0,0,0,0,0,1393.0000
FR,1.0000,1.0000,20260522,199,199,0,0,0,0,0,1393.0000
FR,1.0000,1.0000,20260523,199,199,0,0,0,0,0,1393.0000
FR,1.0000,1.0000,20260524,199,199,0,0,0,0,0,1393.0000
FR,1.0000,2.0000,20260517,199,199,0,0,0,0,0,2786.0000
FR,1.0000,2.0000,20260518,199,199,0,0,0,0,0,2786.0000
FR,1.0000,2.0000,20260519,199,199,0,0,0,0,0,2786.0000
FR,1.0000,2.0000,20260520,199,199,0,0,0,0,0,2786.0000
FR,1.0000,2.0000,20260521,199,199,0,0,0,0,0,2786.0000
FR,1.0000,2.0000,20260522,199,199,0,0,0,0,0,2786.0000
FR,1.0000,2.0000,20260523,199,199,0,0,0,0,0,2786.0000
FR,1.0000,2.0000,20260524,199,199,0,0,0,0,0,2786.0000
FR,10.0000,0.5000,20260517,199,199,0,0,0,0,0,696.5000
FR,10.0000,0.5000,20260518,199,199,0,0,0,0,0,696.5000
FR,10.0000,0.5000,20260519,199,199,0,0,0,0,0,696.5000
FR,10.0000,0.5000,20260520,199,199,0,0,0,0,0,696.5000
FR,10.0000,0.5000,20260521,199,199,0,0,0,0,0,696.5000
FR,10.0000,0.5000,20260522,199,199,0,0,0,0,0,696.5000
FR,10.0000,0.5000,20260523,199,199,0,0,0,0,0,696.5000
FR,10.0000,0.5000,20260524,199,199,0,0,0,0,0,696.5000
FR,10.0000,1.0000,20260517,199,199,0,0,0,0,0,1393.0000
FR,10.0000,1.0000,20260518,199,199,0,0,0,0,0,1393.0000
FR,10.0000,1.0000,20260519,199,199,0,0,0,0,0,1393.0000
FR,10.0000,1.0000,20260520,199,199,0,0,0,0,0,1393.0000
FR,10.0000,1.0000,20260521,199,199,0,0,0,0,0,1393.0000
FR,10.0000,1.0000,20260522,199,199,0,0,0,0,0,1393.0000
FR,10.0000,1.0000,20260523,199,199,0,0,0,0,0,1393.0000
FR,10.0000,1.0000,20260524,199,199,0,0,0,0,0,1393.0000
FR,10.0000,2.0000,20260517,199,199,0,0,0,0,0,2786.0000
FR,10.0000,2.0000,20260518,199,199,0,0,0,0,0,2786.0000
FR,10.0000,2.0000,20260519,199,199,0,0,0,0,0,2786.0000
FR,10.0000,2.0000,20260520,199,199,0,0,0,0,0,2786.0000
FR,10.0000,2.0000,20260521,199,199,0,0,0,0,0,2786.0000
FR,10.0000,2.0000,20260522,199,199,0,0,0,0,0,2786.0000
FR,10.0000,2.0000,20260523,199,199,0,0,0,0,0,2786.0000
FR,10.0000,2.0000,20260524,199,199,0,0,0,0,0,2786.0000
FR,50.0000,0.5000,20260517,199,199,0,0,0,0,0,696.5000
FR,50.0000,0.5000,20260518,199,199,0,0,0,0,0,696.5000
FR,50.0000,0.5000,20260519,199,199,0,0,0,0,0,696.5000
FR,50.0000,0.5000,20260520,199,199,0,0,0,0,0,696.5000
FR,50.0000,0.5000,20260521,199,199,0,0,0,0,0,696.5000
FR,50.0000,0.5000,20260522,199,199,0,0,0,0,0,696.5000
FR,50.0000,0.5000,20260523,199,199,0,0,0,0,0,696.5000
FR,50.0000,0.5000,20260524,199,199,0,0,0,0,0,696.5000
FR,50.0000,1.0000,20260517,199,199,0,0,0,0,0,1393.0000
FR,50.0000,1.0000,20260518,199,199,0,0,0,0,0,1393.0000
FR,50.0000,1.0000,20260519,199,199,0,0,0,0,0,1393.0000
FR,50.0000,1.0000,20260520,199,199,0,0,0,0,0,1393.0000
FR,50.0000,1.0000,20260521,199,199,0,0,0,0,0,1393.0000
FR,50.0000,1.0000,20260522,199,199,0,0,0,0,0,1393.0000
FR,50.0000,1.0000,20260523,199,199,0,0,0,0,0,1393.0000
FR,50.0000,1.0000,20260524,199,199,0,0,0,0,0,1393.0000
FR,50.0000,2.0000,20260517,199,199,0,0,0,0,0,2786.0000
FR,50.0000,2.0000,20260518,199,199,0,0,0,0,0,2786.0000
FR,50.0000,2.0000,20260519,199,199,0,0,0,0,0,2786.0000
FR,50.0000,2.0000,20260520,199,199,0,0,0,0,0,2786.0000
FR,50.0000,2.0000,20260521,199,199,0,0,0,0,0,2786.0000
FR,50.0000,2.0000,20260522,199,199,0,0,0,0,0,2786.0000
FR,50.0000,2.0000,20260523,199,199,0,0,0,0,0,2786.0000
FR,50.0000,2.0000,20260524,199,199,0,0,0,0,0,2786.0000
