workload,country,scheduler,co2_kg,baseline_co2_kg,co2_red_pct,facility_co2_kg,facility_co2_red_pct,energy_kwh,cfe,p50_slow,p95_slow,p99_slow,mean_slow,max_slow,jain,ettr,avg_pue
M100,CH,FCFS,63.281382860698706,63.281382860698706,0.0,99.1258887436928,0.0,2674.5,47.44305898695246,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,CH,QoS-bounded,40.62218088324443,63.281382860698706,35.80705881117354,53.98601169654352,45.537929212283046,1858.1941666666667,69.34344242584069,2.941217445183986,35.80992083304639,181.21254114280836,10.454964771401865,248.28015564202335,0.11439549168695708,0.43901934201509624,1.32897866443235
M100,CH,ProACT++,62.36818874085636,63.281382860698706,1.4430691596177048,82.88599217588802,16.383103116276555,2674.5,49.278668969174525,2.2432626783610954,13.281656025656094,33.939840909090854,4.47032624130723,54.3134328358209,0.31371603072859916,0.628701333574174,1.32897866443235
M100,CH,ProACT-OPT,43.05954584124047,63.281382860698706,31.95542844563395,57.22521772315532,42.27015924051783,1858.1941666666676,50.06774933169399,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.2982475587127231,0.7109207341856657,1.32897866443235
M100,CH,ProACT-OPT-PUE,43.00982041165149,63.281382860698706,32.03400673729113,71.96652237750449,27.398862910993483,1858.1941666666692,50.211611750523375,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.2982475587127231,0.7109207341856657,1.333161025959149
M100,CH,CarbonScaler,38.23515367120148,63.281382860698706,39.57914327604295,50.813703460319005,48.73821147600839,1858.1941666666662,64.02537086860623,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,CH,Threshold,60.8896472151199,63.281382860698706,3.779524936810774,80.921042033707,18.36538056880135,2674.5,52.25068283216382,5.884703196347032,61.720166432255006,150.5149248844371,17.469938232543278,207.02597402597402,0.24478922151613514,0.3829945383924315,1.32897866443235
M100,IT,FCFS,524.2677074203123,524.2677074203123,0.0,835.2160441765067,0.0,2674.5,51.34920168081596,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,IT,QoS-bounded,332.2572353126787,524.2677074203123,36.624508698510446,441.56277683382876,47.13190917336916,1858.1941666666664,71.85481373089152,4.562077136479976,39.155979388784885,169.19082569850391,11.107559807251734,234.27237354085602,0.1438778182726525,0.38248609675500606,1.32897866443235
M100,IT,ProACT++,510.1462847729009,524.2677074203123,2.693551871980937,677.9735282026152,18.826567936554305,2674.5,55.03020870469047,2.554107499710133,13.281656025656094,33.939840909090854,4.573951283945961,54.3134328358209,0.3254124017955861,0.5900731435216185,1.32897866443235
M100,IT,ProACT-OPT,352.87368604356857,524.2677074203123,32.69208058228443,468.96159999150217,43.85146175515801,1858.1941666666678,55.618008581181954,2.038205638424955,13.281656025656094,33.939840909090854,4.346883617584612,54.3134328358209,0.29940349529241295,0.6904758893259583,1.32897866443235
M100,IT,ProACT-OPT-PUE,353.1952172189758,524.2677074203123,32.630751003739654,601.9355944368904,27.930551785511092,1858.1941666666694,55.49737650771564,2.038205638424955,13.281656025656094,33.939840909090854,4.346883617584612,54.3134328358209,0.29940349529241306,0.6904758893259583,1.4229658818850117
M100,IT,CarbonScaler,328.7703268599569,524.2677074203123,37.289609448255135,436.92874989533266,47.6867389052459,1858.1941666666662,64.66110741020262,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,IT,Threshold,486.39627182447373,524.2677074203123,7.22368268344945,646.4102677141634,22.605621357345818,2674.5,61.2210838497168,10.039127514510447,68.81591324200868,203.2090097402597,22.373541418352275,305.9166666666667,0.26729698616043823,0.29633272831631086,1.32897866443235
M100,DE,FCFS,651.2376835648716,651.2376835648716,0.0,1026.8010635264836,0.0,2674.5,52.55935687754288,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,DE,QoS-bounded,406.3877469352772,651.2376835648716,37.597630298247964,540.0806451637167,47.40162779839323,1858.1941666666667,68.76306121268746,4.091590764866177,36.09420678359235,169.19082569850391,10.827954297563695,234.27237354085602,0.13723393516479324,0.3972524461149983,1.32897866443235
M100,DE,ProACT++,631.1802754660811,651.2376835648716,3.079890584493883,838.8251195049553,18.306948706883574,2674.5,55.803634321336915,2.267642685906597,13.281656025656094,33.939840909090854,4.484236596794092,54.3134328358209,0.3153177711869598,0.6205763271841123,1.32897866443235
M100,DE,ProACT-OPT,436.373494041799,651.2376835648716,32.993205851803175,579.9310633053481,43.52060161355781,1858.1941666666683,56.306293598398184,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.29824755871272307,0.7109207341856657,1.32897866443235
M100,DE,ProACT-OPT-PUE,436.18709146592045,651.2376835648716,33.02182866964415,734.284117000851,28.488181101118226,1858.1941666666694,56.34968928813328,2.038205638424955,13.281656025656094,33.939840909090854,4.3376314265190645,54.3134328358209,0.2982475587127231,0.7109207341856657,1.3432958456782065
M100,DE,CarbonScaler,391.3011203784664,651.2376835648716,39.91423864840159,520.0308403514565,49.35427525119196,1858.1941666666662,66.79942511175878,2.038205638424955,13.281656025656094,33.939840909090854,4.330610653037057,54.3134328358209,0.2973611866158164,0.7363580407744837,1.32897866443235
M100,DE,Threshold,598.2576176829346,651.2376835648716,8.135288730824753,795.0716097347458,22.568096394045167,2674.5,61.12886056739683,10.039127514510447,68.81591324200868,203.2090097402597,22.373541418352275,305.9166666666667,0.26729698616043823,0.29633272831631086,1.32897866443235
Philly,CH,FCFS,13.119299642842053,13.119299642842053,0.0,44.38401374376177,0.0,738.0,79.07648764786778,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,CH,QoS-bounded,9.957817335571878,13.119299642842053,24.09795029717987,14.7071151854304,66.86393603260474,539.6674999999999,75.54224731618211,1.9804593498340308,22.096817280957083,43.82386624224972,4.99123025551292,56.57670689801701,0.24899214202273645,0.7647699611473049,1.4769416519514584
Philly,CH,ProACT++,13.119299642842053,13.119299642842053,0.0,19.37644008694532,56.3436506693388,738.0,79.07648764786778,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,CH,ProACT-OPT,9.920964203136133,13.119299642842053,24.378858069995736,14.652685259131163,66.98657011120221,539.6674999999998,75.81515065914485,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091734,0.7664435403822555,1.4769416519514584
Philly,CH,ProACT-OPT-PUE,9.892672311956316,13.119299642842053,24.594508996112452,38.23134422095563,13.862354942315013,539.6674999999998,76.09698611047409,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091734,0.7664435403822555,1.4336472826198454
Philly,CH,CarbonScaler,8.945738683711678,13.119299642842053,31.812376214819437,13.21233406944719,70.23177276006453,539.6674999999998,85.53005881667538,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091734,0.7664435403822555,1.4769416519514584
Philly,CH,Threshold,13.119299642842053,13.119299642842053,0.0,19.37644008694532,56.3436506693388,738.0,79.07648764786778,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,IT,FCFS,121.58531604820415,121.58531604820415,0.0,393.15783936809225,0.0,738.0,73.1526698037476,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,IT,QoS-bounded,91.0305302850239,121.58531604820415,25.130325565849077,134.44678177718046,65.8033572487651,539.6674999999999,75.47181479798466,2.4153438142263335,22.096817280957083,43.82386624224972,5.368247320895002,56.57670689801701,0.27956843486239275,0.7047538088227816,1.4769416519514584
Philly,IT,ProACT++,121.58531604820415,121.58531604820415,0.0,179.5744175372748,54.32510825018828,738.0,73.1526698037476,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,IT,ProACT-OPT,91.28541179158192,121.58531604820415,24.92069374940754,134.82322689052813,65.70760814353227,539.6674999999998,70.08415871715283,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091734,0.7664435403822555,1.4769416519514584
Philly,IT,ProACT-OPT-PUE,91.17704836878545,121.58531604820415,25.00981916875795,340.88291306223124,13.296167867307563,539.6674999999996,70.22414556892275,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091734,0.7664435403822555,1.4336472826198454
Philly,IT,CarbonScaler,85.723990700965,121.58531604820415,29.494783180085193,126.60933243775472,67.79681853953386,539.6674999999998,77.26855553437221,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091729,0.7664435403822555,1.4769416519514584
Philly,IT,Threshold,121.58531604820415,121.58531604820415,0.0,179.5744175372748,54.32510825018828,738.0,73.1526698037476,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,DE,FCFS,138.46322395897485,138.46322395897485,0.0,468.08026956636684,0.0,738.0,76.73270485247366,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,DE,QoS-bounded,105.20464786818908,138.46322395897485,24.019790338436664,155.38112641541468,66.80459816019142,539.6674999999999,75.01487984039423,1.9804593498340308,22.096817280957083,43.82386624224972,4.99123025551292,56.57670689801701,0.24899214202273645,0.7647699611473049,1.4769416519514584
Philly,DE,ProACT++,138.46322395897485,138.46322395897485,0.0,204.50210272849307,56.31046296440878,738.0,76.73270485247366,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Philly,DE,ProACT-OPT,105.16517532049932,138.46322395897485,24.048297942521824,155.322827765623,66.81705300043618,539.6675,73.5960272451119,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091734,0.7664435403822555,1.4769416519514584
Philly,DE,ProACT-OPT-PUE,104.6207085033446,138.46322395897485,24.441519190436743,401.0339513363484,14.323679631301411,539.6674999999998,74.03247365983499,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091734,0.7664435403822555,1.4336472826198454
Philly,DE,CarbonScaler,95.91881865055579,138.46322395897485,30.726140914517853,141.66649847098427,69.734571678865,539.6674999999998,81.0079375593826,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.24810392520091729,0.7664435403822555,1.4769416519514584
Philly,DE,Threshold,138.46322395897485,138.46322395897485,0.0,204.50210272849307,56.31046296440878,738.0,76.73270485247366,1.9738429133941495,22.096817280957083,43.82386624224972,4.98134014562281,56.57670689801701,0.2481039252009173,0.7664435403822555,1.4769416519514584
Acme,CH,FCFS,1727.641212811241,1727.641212811241,0.0,2040.8684567550608,0.0,76497.0,53.230780035757505,1.3354262662236622,3.8560716802439847,14.597796527735044,2.0740526382953135,30.067522356332827,0.2622428075113843,0.7230295649391724,1.181423456414757
Acme,CH,QoS-bounded,1717.3054485574376,1727.641212811241,0.5982587227694736,2028.8649387546227,0.588157358241681,76267.59625,68.1511955512719,1.4616469919997637,3.8560716802439847,20.50957317478081,2.221099198502133,30.067522356332827,0.25292817957208663,0.7128213360546847,1.181423456414757
Acme,CH,ProACT++,1611.1124796667411,1727.641212811241,6.744961412148931,1903.4060744008314,6.735484685416326,71505.0,53.51551966961971,1.3924168307196212,3.8822596749936102,20.63055987328153,2.2107490540761736,30.067522356332827,0.24902688290785902,0.7283622561251142,1.181423456414757
Acme,CH,ProACT-OPT,1687.9550265830997,1727.641212811241,2.297131252360174,1994.1896617784687,2.2872025299862098,76267.59625000003,55.66301100074011,1.209104712253929,3.856930539160619,13.689429289888672,1.8852585635384713,30.067522356332827,0.24006868860830072,0.7881466013450179,1.181423456414757
Acme,CH,ProACT-OPT-PUE,1683.4849245715238,1727.641212811241,2.555871433968948,1980.2625469694178,2.9696137242478327,76267.59625,55.97810293197166,1.209104712253929,4.049346040938738,14.597796527735044,1.9768635335685736,30.067522356332827,0.24378033681447836,0.7811118011022793,1.1751988378688982
Acme,CH,CarbonScaler,1643.0152155270707,1727.641212811241,4.898354858441111,1941.0967148700286,4.8886904765859995,76267.59625,58.83076238944651,1.0373466359948118,3.8806510189296626,14.623631826518992,1.8035057896859699,30.067522356332827,0.20954104950858576,0.9440153554899922,1.181423456414757
Acme,CH,Threshold,1611.3486231722068,1727.641212811241,6.731292862005844,1903.6850598772683,6.721814746253241,71505.0,53.497765535286845,1.608985344670989,10.031305481075321,30.747824157679183,2.7438492817313422,33.15980327154355,0.21590808784468285,0.7182139088206186,1.181423456414757
Acme,IT,FCFS,14475.036046576795,14475.036046576795,0.0,17088.58733775049,0.0,76497.0,56.09056177583446,1.3354262662236622,3.8560716802439847,14.597796527735044,2.0740526382953135,30.067522356332827,0.2622428075113843,0.7230295649391724,1.181423456414757
Acme,IT,QoS-bounded,14435.417623537583,14475.036046576795,0.273701722826325,17054.340983590268,0.2004048285756732,76267.59625,68.11668794522575,1.4367046559534509,3.8560716802439847,20.50957317478081,2.246026814819868,30.067522356332827,0.2567041435420362,0.7174967728789756,1.181423456414757
Acme,IT,ProACT++,13463.906526300754,14475.036046576795,6.985333349240008,15906.574985147441,6.916969374009396,71505.0,56.73916933185842,1.4804951163403484,3.8822596749936102,20.63055987328153,2.219436428064004,30.067522356332827,0.25066383244884793,0.7267192916158236,1.181423456414757
Acme,IT,ProACT-OPT,14178.149828815907,14475.036046576795,2.0510223035409947,16750.398776325983,1.9790317054319218,76267.59625000003,58.40758484475008,1.2323763674704564,4.049346040938738,14.597796527735044,2.006223610886661,30.067522356332827,0.24975051980019355,0.7678612406478712,1.181423456414757
Acme,IT,ProACT-OPT-PUE,14046.72637928665,14475.036046576795,2.9589540634783917,16494.94429786741,3.4739152403292173,76267.59625,59.608918379058274,1.2546496189635863,4.195737617002432,14.597796527735044,2.0114536671234675,30.067522356332827,0.2506199828687366,0.7656219656046811,1.1738624910435487
Acme,IT,CarbonScaler,14082.203762992816,14475.036046576795,2.7138604858734094,16637.04584361187,2.6423570609673375,76267.59625,59.2846218329821,1.0675620190136093,4.405995233891572,20.585895977462435,1.958345528442866,30.067522356332827,0.20667870260837448,0.9273428941020169,1.181423456414757
Acme,IT,Threshold,13479.510146370203,14475.036046576795,6.877536587841703,15925.00946790247,6.8090933840830425,71505.0,56.58703761966779,1.617223831873249,24.810224314219706,41.29854837910855,4.201029012322408,70.154099215021,0.15570250921233436,0.6987426016827452,1.181423456414757
Acme,DE,FCFS,17714.80829025314,17714.80829025314,0.0,20929.481004695062,0.0,76497.0,57.7175193906606,1.3354262662236622,3.8560716802439847,14.597796527735044,2.0740526382953135,30.067522356332827,0.2622428075113843,0.7230295649391724,1.181423456414757
Acme,DE,QoS-bounded,17649.345879056797,17714.80829025314,0.3695349682805271,20851.351211894827,0.3733001921199408,76267.59625,65.41751899731591,1.4367046559534509,6.522401406453095,20.50957317478081,2.3705105869333463,30.067522356332827,0.2645287664950535,0.717889162628569,1.181423456414757
Acme,DE,ProACT++,16452.237092115516,17714.80829025314,7.127207799546442,19437.058811122188,7.130717638139639,71505.0,58.36212457739689,1.4868614472586799,6.730990328625456,20.63055987328153,2.3692453057331777,30.067522356332827,0.2623427779327065,0.7271293374704384,1.181423456414757
Acme,DE,ProACT-OPT,17288.620053481693,17714.80829025314,2.405830364000827,20425.181260225825,2.409518632383234,76267.59624999999,59.833584768720485,1.209104712253929,3.8646353589534446,13.689429289888672,1.8981922756302114,30.067522356332827,0.2425503983954907,0.777871692916512,1.181423456414757
Acme,DE,ProACT-OPT-PUE,17170.93995825461,17714.80829025314,3.0701338850941617,20162.825092369818,3.6630431120258655,76267.59625000003,60.50108086579253,1.209104712253929,3.8646353589534446,13.689429289888672,1.9018381089635448,30.067522356332827,0.24329256110822226,0.7746583540951872,1.1729281638270133
Acme,DE,CarbonScaler,17450.21948169949,17714.80829025314,1.493602438245012,20616.098615265542,1.4973251814472621,76267.59625,58.91697276720662,1.0675620190136093,4.405995233891572,20.585895977462435,1.9578246951095324,30.067522356332827,0.20658508730556088,0.9279984774542782,1.181423456414757
Acme,DE,Threshold,16448.49169083099,17714.80829025314,7.148350570177431,19432.633906190957,7.151859609745315,71505.0,58.38478394173423,1.6168472287500346,24.810224314219706,39.83998484319696,4.09284537115661,63.52426496087737,0.16510729101936683,0.7021691395791609,1.181423456414757
