country,layer,energy_kwh,ci_weighted_mean,cfe_canonical_pct,co2_g_it,co2_g_facility,d_cfe_vs_fcfs_pp,d_ci_vs_fcfs_g,d_cfe_vs_easy_fcfs_pp,d_ci_vs_easy_fcfs_g,d_cfe_vs_saf_pp,d_ci_vs_saf_g,d_cfe_vs_replay_pp,d_ci_vs_replay_g
CH,easy_fcfs,4839.9593,33.2993,95.8376,161177.8951,193413.4742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,fcfs,4839.9593,33.2993,95.8376,161177.8951,193413.4742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,fsla_M0,14294.6807,32.2385,95.9702,454393.4129,6981158.8323,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608
CH,fsla_M1,14294.6807,32.2385,95.9702,454393.4129,6981158.8323,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608
CH,fsla_M2,14294.6807,32.2385,95.9702,454393.4129,6981158.8323,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608
CH,fsla_M3,14294.6807,32.2385,95.9702,454393.4129,6981158.8323,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608,0.1326,1.0608
CH,fsla_none,7343.8528,31.1141,96.1107,225170.6366,2562254.1287,0.2732,2.1852,0.2732,2.1852,0.2732,2.1852,0.2732,2.1852
CH,replay,4839.9593,33.2993,95.8376,161177.8951,193413.4742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CH,saf,4839.9593,33.2993,95.8376,161177.8951,193413.4742,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
DE,easy_fcfs,4839.9593,345.6996,56.7875,1673477.4187,2008172.9025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DE,fcfs,4839.9593,345.6996,56.7875,1673477.4187,2008172.9025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DE,fsla_M0,14294.6817,316.4562,60.4430,4335641.3135,65776734.7835,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435
DE,fsla_M1,14294.6817,316.4562,60.4430,4335641.3135,65776734.7835,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435
DE,fsla_M2,14294.6817,316.4562,60.4430,4335641.3135,65776734.7835,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435
DE,fsla_M3,14294.6817,316.4562,60.4430,4335641.3135,65776734.7835,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435,3.6554,29.2435
DE,fsla_none,7343.8528,283.0266,64.6217,1983095.4377,20896061.4793,7.8341,62.6730,7.8341,62.6730,7.8341,62.6730,7.8341,62.6730
DE,replay,4839.9593,345.6996,56.7875,1673477.4187,2008172.9025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
DE,saf,4839.9593,345.6996,56.7875,1673477.4187,2008172.9025,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
FR,easy_fcfs,4839.9593,59.2566,92.5929,286822.9678,344187.5613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FR,fcfs,4839.9593,59.2566,92.5929,286822.9678,344187.5613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FR,fsla_M0,14294.6807,57.0068,92.8741,800254.5940,12196226.1904,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498
FR,fsla_M1,14294.6807,57.0068,92.8741,800254.5940,12196226.1904,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498
FR,fsla_M2,14294.6807,57.0068,92.8741,800254.5940,12196226.1904,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498
FR,fsla_M3,14294.6807,57.0068,92.8741,800254.5940,12196226.1904,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498,0.2812,2.2498
FR,fsla_none,7343.8528,54.4309,93.1961,392386.2603,4425895.7470,0.6032,4.8257,0.6032,4.8257,0.6032,4.8257,0.6032,4.8257
FR,replay,4839.9593,59.2566,92.5929,286822.9678,344187.5613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
FR,saf,4839.9593,59.2566,92.5929,286822.9678,344187.5613,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
IT,easy_fcfs,4839.9593,295.3986,63.0752,1429908.1005,1715889.7206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IT,fcfs,4839.9593,295.3986,63.0752,1429908.1005,1715889.7206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IT,fsla_M0,14294.6817,277.1350,65.3581,3843625.8205,58433164.9432,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636
IT,fsla_M1,14294.6817,277.1350,65.3581,3843625.8205,58433164.9432,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636
IT,fsla_M2,14294.6817,277.1350,65.3581,3843625.8205,58433164.9432,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636
IT,fsla_M3,14294.6817,277.1350,65.3581,3843625.8205,58433164.9432,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636,2.2830,18.2636
IT,fsla_none,7343.8528,256.2470,67.9691,1822237.4573,19910062.9988,4.8940,39.1517,4.8940,39.1517,4.8940,39.1517,4.8940,39.1517
IT,replay,4839.9593,295.3986,63.0752,1429908.1005,1715889.7206,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
IT,saf,4839.9593,295.3986,63.0752,1429908.1005,1715889.7206,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
PL,easy_fcfs,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PL,fcfs,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PL,fsla_M0,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_M1,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_M2,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_M3,14294.6817,657.1268,17.8591,9080127.5187,137980863.7209,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264,6.0658,48.5264
PL,fsla_none,7343.8528,601.6372,24.7953,4259986.5530,46065107.0642,13.0020,104.0160,13.0020,104.0160,13.0020,104.0160,13.0020,104.0160
PL,replay,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
PL,saf,4839.9593,705.6532,11.7933,3415839.4833,4099007.3800,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
SE,easy_fcfs,4839.9593,12.1505,98.4812,58811.4058,70573.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SE,fcfs,4839.9593,12.1505,98.4812,58811.4058,70573.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SE,fsla_M0,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_M1,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_M2,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_M3,14294.6797,11.8395,98.5201,167202.6967,2552045.1024,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110,0.0389,0.3110
SE,fsla_none,7343.8528,11.4828,98.5646,83311.8394,953433.8768,0.0835,0.6677,0.0835,0.6677,0.0835,0.6677,0.0835,0.6677
SE,replay,4839.9593,12.1505,98.4812,58811.4058,70573.6869,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SE,saf,4839.9593,12.1505,98.4812,58811.4058,70573.6869,-0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,-0.0000,-0.0000
