country,mw,tier,seed,nodes,energy_kwh,ci_weighted_mean,cfe_canonical_pct,cfe_pct,cfe_abs_pct,co2_g_facility,p50_slowdown,p95_slowdown
CH,1,0,0,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,1,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,2,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,3,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,4,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,5,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,6,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,0,7,667,379.7367,31.0631,96.1171,40.1988,100.0000,14212.3402,600.6167,600.6333
CH,1,1,0,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,1,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,2,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,3,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,4,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,5,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,6,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,1,7,667,378.3617,30.9896,96.1263,40.8354,100.0000,14124.2616,600.6167,600.6333
CH,1,2,0,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,1,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,2,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,3,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,4,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,5,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,6,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,2,7,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,3,0,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,3,1,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,3,2,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,3,3,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,3,4,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,3,5,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,3,6,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,3,7,667,866.8525,32.0080,95.9990,33.5358,100.0000,32272.9285,1200.6167,2160.6167
CH,1,4,0,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,4,1,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,4,2,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,4,3,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,4,4,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,4,5,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,4,6,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,4,7,667,765.2025,31.8975,96.0128,33.5094,100.0000,28446.0481,1200.6167,1980.6167
CH,1,5,0,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,5,1,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,5,2,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,5,3,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,5,4,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,5,5,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,5,6,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,1,5,7,667,765.1025,31.8975,96.0128,33.4737,100.0000,28636.5168,1200.6167,1980.6167
CH,10,0,0,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,1,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,2,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,3,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,4,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,5,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,6,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,0,7,6667,3622.6933,31.1372,96.1078,40.3465,100.0000,189650.3234,600.6167,600.6333
CH,10,1,0,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,1,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,2,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,3,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,4,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,5,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,6,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,1,7,6667,3612.5683,31.0564,96.1179,40.9847,100.0000,190415.5927,600.6167,600.6333
CH,10,2,0,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,1,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,2,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,3,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,4,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,5,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,6,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,2,7,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,3,0,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,1,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,2,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,3,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,4,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,5,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,6,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,3,7,6667,7101.4792,32.2977,95.9628,32.7327,100.0000,437791.6341,900.6167,1680.6167
CH,10,4,0,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,1,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,2,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,3,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,4,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,5,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,6,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,4,7,6667,7101.4792,32.3791,95.9526,32.3719,100.0000,435652.9623,900.6167,1680.6167
CH,10,5,0,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,1,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,2,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,3,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,4,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,5,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,6,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,10,5,7,6667,7101.4792,32.3792,95.9526,32.3403,100.0000,435841.1852,900.6167,1680.6167
CH,50,0,0,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,1,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,2,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,3,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,4,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,5,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,6,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,0,7,33333,18029.1283,31.1420,96.1073,40.3680,100.0000,7482899.7225,600.6167,600.6333
CH,50,1,0,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,1,1,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,1,2,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,1,3,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,1,4,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,1,5,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,1,6,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,1,7,33333,17979.8283,31.0604,96.1175,41.0087,100.0000,7644357.4563,600.6167,600.6333
CH,50,2,0,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,2,1,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,2,2,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,2,3,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,2,4,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,2,5,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,2,6,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,2,7,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,3,0,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,3,1,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,3,2,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,3,3,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,3,4,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,3,5,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,3,6,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,3,7,33333,34941.1417,32.3468,95.9567,32.4029,100.0000,20594684.8360,900.6167,1680.6000
CH,50,4,0,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,4,1,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,4,2,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,4,3,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,4,4,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,4,5,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,4,6,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,4,7,33333,34941.1417,32.4290,95.9464,32.0366,100.0000,20360052.4436,900.6167,1620.6167
CH,50,5,0,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,5,1,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,5,2,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,5,3,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,5,4,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,5,5,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,5,6,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
CH,50,5,7,33333,34941.1417,32.4289,95.9464,32.0059,100.0000,20344689.8017,900.6167,1620.6167
DE,1,0,0,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,0,1,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,0,2,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,0,3,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,0,4,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,0,5,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,0,6,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,0,7,667,379.7367,281.5630,64.8046,59.5313,0.0000,126003.6397,600.6167,600.6333
DE,1,1,0,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,1,1,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,1,2,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,1,3,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,1,4,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,1,5,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,1,6,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,1,7,667,378.3617,279.4570,65.0679,60.4817,0.0000,124472.9384,600.6167,600.6333
DE,1,2,0,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,2,1,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,2,2,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,2,3,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,2,4,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,2,5,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,2,6,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,2,7,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,3,0,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,3,1,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,3,2,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,3,3,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,3,4,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,3,5,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,3,6,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,3,7,667,866.8525,310.6930,61.1634,49.1152,0.0000,304834.1998,1200.6167,2160.6167
DE,1,4,0,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,4,1,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,4,2,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,4,3,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,4,4,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,4,5,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,4,6,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,4,7,667,765.5025,305.4462,61.8192,49.0963,0.0000,273513.5633,1200.6167,1980.6167
DE,1,5,0,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,5,1,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,5,2,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,5,3,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,5,4,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,5,5,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,5,6,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,1,5,7,667,765.1025,305.4442,61.8195,49.5050,0.0000,269399.5265,1200.6167,1980.6167
DE,10,0,0,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,0,1,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,0,2,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,0,3,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,0,4,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,0,5,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,0,6,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,0,7,6667,3622.6933,283.6902,64.5387,59.7518,0.0000,1624287.8393,600.6167,600.6333
DE,10,1,0,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,1,1,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,1,2,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,1,3,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,1,4,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,1,5,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,1,6,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,1,7,6667,3612.5683,281.3734,64.8283,60.7047,0.0000,1619302.3032,600.6167,600.6333
DE,10,2,0,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
DE,10,2,1,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
DE,10,2,2,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
DE,10,2,3,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
DE,10,2,4,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
DE,10,2,5,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
DE,10,2,6,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
DE,10,2,7,6667,7101.4792,319.2809,60.0899,47.8102,0.0000,4134617.7427,900.6167,1680.6167
